10010	3571414.29
10032	123333.33
10111	266333.33
10123	212500.00
10127	214750.00
10314	312250.00
10332	67980.00
10337	199750.00
10344	106633.33
10406	54980.00
10419	171250.00
10502	89966.67
10531	83000.00
10548	174950.00
10565	195000.00
10603	74750.00
10607	174500.00
10610	54200.00
10612	362500.00
10615	71250.00
10617	2150000.00
10652	616666.67
10663	1050000.00
10702	59966.67
10710	67500.00
10718	80000.00
10833	83750.00
10919	222666.67
10923	40000.00
10925	75000.00
11005	118750.00
11095	874375.00
11115	559000.00
11151	33300.00
11152	90000.00
11230	124750.00
11300	124966.67
11301	12475.00
11403	130000.00
11411	82500.00
11415	73333.33
11460	38500.00
11619	208333.33
11622	424750.00
11630	99750.00
11637	23300.00
11648	135000.00
11719	84000.00
11725	68333.33
11730	79800.00
11909	856250.00
11921	53725.00
12007	599980.00
12009	69966.67
12030	149997.50
12046	460000.00
12114	152250.00
12118	51250.00
12126	105000.00
12219	114999.80
12251	36000.00
12309	149800.00
12403	79800.00
12423	96633.33
12500	96000.00
12553	56250.00
12608	200000.00
12630	247250.00
12717	111665.00
12730	579000.00
12751	114875.00
12752	63000.00
12807	50000.00
12826	126466.67
13003	348750.00
13111	66633.33
13207	206225.00
13215	93500.00
13314	89968.50
13315	199750.00
13325	533333.33
13339	71980.00
13444	75000.00
13730	111125.00
13801	83000.00
13814	99966.67
13903	67475.00
13922	130000.00
14022	195000.00
14025	87500.00
14203	104875.00
14209	179800.00
14240	124998.75
14248	96333.33
14303	173750.00
14338	271250.00
14523	97250.00
14542	228750.00
14615	93750.00
14807	225000.00
14810	180000.00
14836	225625.00
14873	145000.00
14987	316666.67
15040	120000.00
15120	206250.00
15306	77497.50
15307	59000.00
15318	187475.00
15331	96250.00
15442	258333.33
15501	183000.00
15543	95833.33
15606	116250.00
15638	85000.00
15702	92250.00
15755	99166.67
15903	81250.00
16030	100000.00
16102	303750.00
16111	91000.00
16239	174750.00
16310	199750.00
16339	84750.00
16417	241666.67
16418	104750.00
16603	97500.00
16622	149966.67
16723	116500.00
16811	103333.33
16893	125000.00
17003	119987.50
17226	106250.00
17239	109250.00
17374	78894.74
17444	206250.00
17529	52500.00
17719	140000.00
17730	149999.75
18010	56500.00
18183	204625.00
18240	58933.33
18250	146666.67
18309	206250.00
18318	293750.00
18403	169800.00
18408	233166.67
18596	166000.00
18725	243333.33
18936	191666.67
19058	171633.33
19100	49999.75
19372	238333.33
19493	491666.67
19555	138333.33
19724	183333.33
19941	104750.00
20500	240000.00
20864	155000.00
21426	33000.00
21636	152500.00
21660	130833.00
21746	108333.33
21802	93749.75
21865	165000.00
21940	91666.67
22578	145208.33
22750	138333.33
22827	93800.00
23775	598000.00
25036	175000.00
28417	187250.00
60601	379392.86
60602	154900.00
60604	214666.67
60605	190684.62
60606	300000.00
60607	184995.00
60609	165800.00
60610	783224.53
60611	717622.90
60612	75000.00
60613	180183.33
60614	582216.36
60615	85305.44
60617	46000.00
60618	99666.67
60619	36900.00
60620	26453.85
60621	20833.33
60622	810555.56
60623	79999.90
60624	70555.56
60625	240000.00
60626	237142.86
60628	24183.25
60629	98333.17
60630	216633.33
60631	175515.79
60632	121684.62
60633	70000.00
60634	106147.06
60636	24285.57
60637	162416.67
60638	116394.95
60639	94921.43
60640	147265.00
60641	86000.00
60643	89926.67
60644	69909.09
60645	107900.00
60646	312976.92
60647	133333.33
60649	50628.57
60651	38596.00
60652	54118.18
60653	151938.89
60654	1285700.00
60655	171225.00
60656	164988.89
60657	235378.95
60660	101415.38
60661	315000.00
60707	99975.00
72761	96180.99
75043	136496.67
75201	208000.00
75202	179249.50
75203	95408.33
75204	273731.58
75205	1101254.53
75206	219090.82
75208	282972.47
75209	918739.13
75210	87116.67
75211	168766.67
75212	128316.67
75214	406922.50
75215	41199.97
75216	90351.79
75217	73348.39
75218	520454.45
75219	541757.14
