10010	1498.44
10032	181.91
10111	377.96
10123	393.52
10127	247.62
10314	357.47
10332	96.78
10337	239.51
10344	146.01
10406	98.32
10419	236.78
10502	195.58
10531	158.70
10548	331.34
10565	334.67
10603	112.83
10607	332.38
10610	99.19
10612	431.29
10615	108.78
10617	880.37
10652	609.15
10663	550.89
10702	89.24
10710	94.84
10718	116.11
10833	180.98
10919	313.91
10923	77.85
10925	93.75
11005	140.04
11095	457.70
11115	606.03
11151	77.86
11152	157.48
11230	198.96
11300	165.01
11301	26.91
11403	279.09
11411	120.00
11415	113.99
11460	70.84
11619	190.32
11622	387.19
11630	190.00
11637	95.62
11648	162.00
11719	114.99
11725	269.74
11730	107.90
11909	516.90
11921	166.46
12007	500.15
12009	138.09
12030	171.57
12046	475.60
12114	221.70
12118	116.08
12126	123.34
12219	158.62
12251	60.75
12309	172.98
12403	155.74
12423	269.17
12500	131.69
12553	108.07
12608	270.73
12630	440.73
12717	166.25
12730	509.50
12751	225.25
12752	149.64
12807	102.67
12826	230.64
13003	506.54
13111	134.34
13207	164.03
13215	116.88
13314	136.99
13315	302.19
13325	1010.10
13339	126.64
13444	157.34
13730	157.51
13801	134.59
13814	181.65
13903	108.44
13922	155.69
14022	169.09
14025	152.44
14203	111.93
14209	249.72
14240	219.49
14248	157.75
14303	220.63
14338	407.13
14523	149.33
14542	364.83
14615	113.22
14807	328.37
14810	247.25
14836	280.02
14873	285.32
14987	353.42
15040	116.67
15120	242.65
15306	133.44
15307	86.99
15318	166.76
15331	133.22
15442	306.93
15501	305.00
15543	191.16
15606	210.60
15638	172.41
15702	140.04
15755	213.87
15903	178.77
16030	138.77
16102	363.66
16111	115.24
16239	257.65
16310	303.34
16339	131.65
16417	323.16
16418	150.07
16603	163.23
16622	201.21
16723	162.86
16811	139.64
16893	172.41
17003	166.42
17226	194.95
17239	230.24
17374	87.67
17444	262.40
17529	80.58
17719	211.59
17730	248.55
18010	124.72
18183	250.00
18240	143.16
18250	310.52
18309	252.45
18318	297.47
18403	221.79
18408	398.35
18596	222.32
18725	219.88
18936	224.35
19058	358.32
19100	123.15
19372	259.43
19493	516.82
19555	256.81
19724	376.20
19941	149.32
20500	238.96
20864	197.37
21426	54.40
21636	161.46
21660	147.95
21746	137.36
21802	159.44
21865	202.54
21940	175.83
22578	205.00
22750	211.63
22827	151.83
23775	707.69
25036	256.35
28417	370.43
60601	504.94
60602	148.94
60604	315.53
60605	291.64
60606	291.26
60607	284.61
60609	296.81
60610	630.86
60611	666.86
60612	163.61
60613	240.34
60614	662.51
60615	110.87
60617	67.95
60618	113.77
60619	66.25
60620	61.86
60621	41.00
60622	550.57
60623	155.67
60624	208.27
60625	324.32
60626	398.56
60628	21.77
60629	257.98
60630	420.92
60631	264.58
60632	162.60
60633	218.75
60634	273.74
60636	55.18
60637	207.34
60638	204.92
60639	169.50
60640	241.58
60641	186.96
60643	159.28
60644	97.54
60645	238.32
60646	382.83
60647	236.83
60649	81.57
60651	105.24
60652	126.12
60653	147.67
60654	1120.09
60655	218.05
60656	326.35
60657	303.18
60660	166.89
60661	403.85
60707	178.85
72761	174.87
75043	238.21
75201	239.58
75202	306.67
75203	183.33
75204	336.26
75205	1092.40
75206	449.54
75208	411.34
75209	743.87
75210	173.14
75211	301.61
75212	226.57
75214	444.74
75215	126.20
75216	171.97
75217	158.64
75218	490.15
75219	548.39
75220	1026.98
75223	451.87
75224	207.51
75225	774.73
75226	261.94
75227	184.00
75228	176.95
75229	1741.82
75230	491.52
75231	247.93
75232	142.31
75233	100.42
75236	144.24
75237	171.36
75238	326.62
75241	162.97
75243	209.45
75244	401.38
75246	274.00
75248	248.56
75249	182.04
75252	358.29
75253	179.49
75254	195.65
75287	249.40
77002	129.66
77004	232.58
77005	384.26
77006	170.02
77007	225.39
77008	394.53
77009	448.97
77012	133.95
77014	91.91
77015	165.03
77016	142.30
77018	317.22
77019	1034.69
77021	151.82
77022	125.13
77024	1366.20
77027	1342.86
77028	145.18
77029	56.32
77030	421.00
77031	164.18
77032	105.11
77033	312.81
77036	143.69
77040	141.62
77042	771.04
77043	220.90
77045	218.54
77047	115.93
77048	137.38
77051	127.49
77054	129.29
77055	330.22
77056	501.07
77057	134.63
77059	161.72
77062	159.89
77064	140.55
77065	153.18
77066	129.50
77068	107.65
77069	110.00
77071	90.51
77072	114.91
77073	93.95
77074	68.67
77077	172.69
77079	384.00
77080	510.01
77082	144.33
77083	123.86
77084	142.06
77086	185.28
77088	127.45
77089	157.58
77090	117.90
77091	97.13
77092	137.37
77094	204.60
77095	157.08
77096	273.56
77339	137.45
77345	162.23
85006	338.73
85008	320.97
85009	228.02
85013	717.37
85014	309.38
85016	407.20
85018	868.36
85020	381.43
85022	280.24
85023	339.70
85024	202.51
85027	255.19
85028	656.41
85029	285.33
85032	277.80
85033	185.98
85041	272.34
85042	344.78
85043	193.13
85044	367.11
85048	308.83
85050	353.21
85053	276.30
85083	313.69
85308	259.74
85310	314.06
85331	336.46
85339	254.76
